Gene Symbol	Entrez ID	Uniprot ID	Ensembl ID	DOID	Source	Disease Name	DOID Source
CAPN3	825	A0A669KAX6	ENSG00000092529	DOID:9006843	HPO	Autosomal Dominant Limb-Girdle Muscular Dystrophy Type 4	Xref -> OMIM
CRB1	23418	P82279	ENSG00000134376	None	HPO	None	None
LMF1	64788	H3BVI4	ENSG00000103227	DOID:0111422	HPO	familial lipase maturation factor 1 deficiency	Xref -> OMIM
PPP1R15B	84919	Q5SWA1	ENSG00000158615	DOID:9008578	HPO	Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome	Xref -> OMIM
INAVA	55765	C9JAT8	ENSG00000163362	DOID:0112155	HPO	inflammatory bowel disease 29	Xref -> OMIM
TMEM67	91147	H0YC18	ENSG00000164953	DOID:0111589	HPO	Joubert syndrome with hepatic defect	Xref -> UMLS
COG7	91949	I3L2R8	ENSG00000168434	DOID:0070257	HPO	congenital disorder of glycosylation type IIe	Xref -> OMIM
TRPV4	59341	F5H6Q4	ENSG00000111199	DOID:0111539	HPO	parastremmatic dwarfism	Xref -> OMIM
NDUFAF3	25915	Q9BU61	ENSG00000178057	DOID:0112070	HPO	nuclear type mitochondrial complex I deficiency 18	Xref -> OMIM
DMD	1756	Q8WYF2	ENSG00000198947	None	HPO	None	None
LMNA	4000	A0A6Q8PFJ0	ENSG00000160789	DOID:0110156	HPO	Charcot-Marie-Tooth disease type 2B1	Xref -> OMIM
KCNT2	343450	Q3SY61	ENSG00000162687	DOID:0080284	HPO	developmental and epileptic encephalopathy 57	Xref -> OMIM
IQSEC2	23096	A0A1W2PQS2	ENSG00000124313	DOID:0112038	HPO	Severe intellectual disability-progressive postnatal microcephaly-midline stereotypic hand movements syndrome	Xref -> GARD
KRT1	3848	H6VRF8	ENSG00000167768	DOID:9004887	HPO	Cyclic Ichthyosis with Epidermolytic Hyperkeratosis	Xref -> OMIM
SIN3A	25942	H3BT34	ENSG00000169375	None	HPO	None	None
CATSPER1	117144	Q8NEC5	ENSG00000175294	DOID:0070173	HPO	spermatogenic failure 7	Xref -> OMIM
USH1C	10083	E9PNW1	ENSG00000006611	DOID:0110473	HPO	autosomal recessive nonsyndromic deafness 18A	Xref -> OMIM
TANC2	26115	J3KTM5	ENSG00000170921	DOID:0060307	HPO	Non-specific syndromic intellectual disability	Xref -> OMIM
ALX3	257	A0A3B3IS30	ENSG00000156150	DOID:0081045	HPO	frontonasal dysplasia 1	Xref -> OMIM
GNAS	2778	A0A0S2Z3H8	ENSG00000087460	DOID:4183	HPO	Pseudopseudohypoparathyroidism	Xref -> UMLS
TBX15	6913	Q5JT55	ENSG00000092607	DOID:9004239	HPO	Cousin Syndrome	Xref -> OMIM
PTPN22	26191	E9PMT0	ENSG00000134242	DOID:7148	HPO	rheumatoid arthritis	Xref -> OMIM
ARL6	84100	Q9H0F7	ENSG00000113966	DOID:0110123	HPO	Bardet-Biedl syndrome 1	Xref -> OMIM
SFRP4	6424	Q6FHJ7	ENSG00000106483	DOID:0080019	HPO	metaphyseal dysplasia	Xref -> OMIM
ACP4	93650	Q9BZG2	ENSG00000142513	DOID:0080953	HPO	amelogenesis imperfecta type 1J	Xref -> OMIM
LMAN2L	81562	F8WB07	ENSG00000114988	None	HPO	None	None
ALMS1	7840	A0A804HL70	ENSG00000116127	DOID:0050473	HPO	Alström syndrome	Xref -> UMLS
MMUT	4594	P22033	ENSG00000146085	DOID:0060740	HPO	methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency	Xref -> OMIM
CALM3	808	B4DJ51	ENSG00000160014	DOID:9004730	HPO	Romano-Ward syndrome	Xref -> MeSH
FLNC	2318	Q14315	ENSG00000128591	DOID:0111190	HPO	Distal myopathy with posterior leg and anterior hand involvement	Xref -> OMIM
GRM6	2916	O15303	ENSG00000113262	DOID:0050534	HPO	Congenital stationary night blindness	Xref -> MeSH
TRNT	4576	None	ENSG00000210195	DOID:9004212	HPO	Lethal infantile mitochondrial myopathy	Xref -> OMIM
MKKS	8195	Q9NPJ1	ENSG00000125863	DOID:0111255	HPO	McKusick-Kaufman syndrome	Xref -> OMIM
FLNC	2318	Q14315	ENSG00000128591	DOID:397	HPO	Familial isolated restrictive cardiomyopathy	Xref -> ICD-10
SEC63	11231	A0A0S2Z5M1	ENSG00000025796	None	HPO	None	None
TOPORS	10210	Q9NS56	ENSG00000197579	DOID:10584	HPO	Retinitis pigmentosa	Xref -> UMLS
USP9Y	8287	L8E838	ENSG00000114374	None	HPO	None	None
NUMA1	4926	F5H073	ENSG00000137497	DOID:0060318	HPO	Acute promyelocytic leukemia	Xref -> UMLS
UQCC3	790955	Q6UW78	ENSG00000204922	DOID:0080118	HPO	mitochondrial complex III deficiency nuclear type 9	Xref -> OMIM
MYD88	4615	A0A192GP51	ENSG00000172936	DOID:9001436	HPO	Bacterial susceptibility due to TLR signaling pathway deficiency	Xref -> OMIM
ABCB4	5244	A0A2R8Y8A1	ENSG00000005471	DOID:0070229	HPO	intrahepatic cholestasis of pregnancy 3	Xref -> OMIM
PTPN23	25930	C9JD91	ENSG00000076201	DOID:9005433	HPO	NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY	Xref -> OMIM
POMC	5443	E9PHK5	ENSG00000115138	DOID:9970	HPO	obesity	Xref -> OMIM
ATP6	4508	A0A023QFT6	ENSG00000272896	DOID:0111273	HPO	NARP syndrome	Xref -> UMLS
EDN3	1908	P14138	ENSG00000124205	DOID:0060731	HPO	Congenital central hypoventilation syndrome	Xref -> GARD
RPS15A	6210	H3BV27	ENSG00000134419	DOID:0111891	HPO	Diamond-Blackfan anemia 20	Xref -> OMIM
RBP3	5949	P10745	ENSG00000265203	DOID:0110393	HPO	retinitis pigmentosa 66	Xref -> OMIM
LMNA	4000	A0A6Q8PFJ0	ENSG00000160789	DOID:0060762	HPO	Restrictive dermopathy	Xref -> UMLS
FAM149B1	317662	H7BY93	ENSG00000138286	DOID:9009141	HPO	Joubert Syndrome 36	Xref -> OMIM
TUBB	203068	Q96B85	ENSG00000196230	DOID:0112241	HPO	Multiple benign circumferential skin creases on limbs	Xref -> MeSH
NSD1	64324	L8EAB5	ENSG00000165671	DOID:0112103	HPO	Sotos syndrome 1	Xref -> OMIM
NPM1	4869	P06748	ENSG00000181163	DOID:2729	HPO	Dyskeratosis congenita	Xref -> UMLS
TRAPPC6B	122553	L8E9R9	ENSG00000182400	DOID:9009122	HPO	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, EPILEPSY, AND BRAIN ATROPHY	Xref -> OMIM
RLIM	51132	L0R533	ENSG00000131263	DOID:0112042	HPO	Tonne-Kalscheuer syndrome	Xref -> OMIM
AASS	10157	Q9UDR5	ENSG00000008311	DOID:9274	HPO	hyperlysinemia	Xref -> OMIM
HFE	3077	H2E8T5	ENSG00000010704	DOID:1485	HPO	Cystic fibrosis	Xref -> UMLS
P2RY12	64805	A0A2H4P6E7	ENSG00000169313	DOID:0060692	HPO	platelet-type bleeding disorder 8	Xref -> OMIM
DCAF8	50717	Q5TAQ7	ENSG00000132716	DOID:0090069	HPO	giant axonal neuropathy 2	Xref -> OMIM
COG6	57511	A0A024RDW5	ENSG00000133103	DOID:9001463	HPO	Shaheen Syndrome	Xref -> OMIM
LTBP4	8425	Q8N2S1	ENSG00000090006	DOID:0070139	HPO	autosomal recessive cutis laxa type IC	Xref -> OMIM
BICC1	80114	Q9H694	ENSG00000122870	DOID:898	HPO	Autosomal dominant polycystic kidney disease	DiseaseName -> Frozenset
MTR	4548	A0A7P0TA06	ENSG00000116984	DOID:0050733	HPO	methylmalonic aciduria and homocystinuria type cblG	Xref -> OMIM
AMACR	23600	V9GZ45	ENSG00000242110	DOID:0111068	HPO	congenital bile acid synthesis defect 4	Xref -> OMIM
IMPA1	3612	E5RI82	ENSG00000133731	DOID:9007035	HPO	Intellectual Developmental Disorder, Autosomal Recessive 59	Xref -> OMIM
SCN4A	6329	P35499	ENSG00000007314	DOID:0110682	HPO	congenital myasthenic syndrome 16	Xref -> OMIM
FOXP2	93986	A0A0U1RQE0	ENSG00000128573	DOID:0111275	HPO	speech-language disorder-1	Xref -> OMIM
TRIM32	22954	A0A024R843	ENSG00000119401	DOID:0110282	HPO	TRIM32-related  limb-girdle muscular dystrophy R8	Xref -> OMIM
FANCE	2178	Q9HB96	ENSG00000112039	DOID:0111084	HPO	Fanconi anemia complementation group E	Xref -> OMIM
ALKBH8	91801	C9JQN2	ENSG00000137760	DOID:9000328	HPO	Mental Retardation, Autosomal Recessive 71	Xref -> OMIM
FGFR1	2260	A0A3B3ISD1	ENSG00000077782	DOID:9007632	HPO	Encephalocraniocutaneous Lipomatosis	Xref -> OMIM
SPINK1	6690	D6RIU5	ENSG00000164266	DOID:4989	HPO	Hereditary chronic pancreatitis	Xref -> OMIM
NSUN2	54888	A0A140T9Y7	ENSG00000037474	None	HPO	None	None
ITPR1	3708	A0A3B3IRP0	ENSG00000150995	DOID:0050978	HPO	spinocerebellar ataxia type 29	Xref -> OMIM
POLR3H	171568	E7ERZ2	ENSG00000100413	None	HPO	None	None
PCARE	388939	A6NGG8	ENSG00000179270	DOID:10584	HPO	Retinitis pigmentosa	Xref -> UMLS
FEZF1	389549	A0PJY2	ENSG00000128610	DOID:0090078	HPO	hypogonadotropic hypogonadism 7 with or without anosmia	Xref -> OMIM
IGF2	3481	B2MUX6	ENSG00000167244	DOID:5572	HPO	Beckwith-Wiedemann syndrome	Xref -> OMIM
KRT12	3859	A0A3B3ITG2	ENSG00000187242	DOID:0080670	HPO	Meesmann corneal dystrophy 1	Xref -> OMIM
COL6A2	1292	P12110	ENSG00000142173	DOID:0050663	HPO	Bethlem myopathy	Xref -> MeSH
USF3	205717	Q68DE3	ENSG00000176542	DOID:6457	HPO	Cowden syndrome	Xref -> UMLS
HPRT1	3251	A0A140VJL3	ENSG00000165704	DOID:1919	HPO	Lesch-Nyhan syndrome	Xref -> UMLS
TELO2	9894	H3BU45	ENSG00000100726	DOID:9008826	HPO	YOU-HOOVER-FONG SYNDROME	Xref -> OMIM
PEX3	8504	Q7Z6V3	ENSG00000034693	DOID:906	HPO	Neonatal adrenoleukodystrophy	Xref -> MeSH
BBS1	582	E9PQK2	ENSG00000174483	DOID:0110123	HPO	Bardet-Biedl syndrome 1	Xref -> OMIM
LDLRAP1	26119	Q5SW96	ENSG00000157978	DOID:13810	HPO	Homozygous familial hypercholesterolemia	Xref -> OMIM
CYB5A	1528	P00167	ENSG00000166347	DOID:0112316	HPO	methemoglobinemia and ambiguous genitalia	Xref -> OMIM
PRKRA	8575	A0A7I2V3J2	ENSG00000180228	DOID:0090048	HPO	dystonia 16	Xref -> OMIM
MYO3A	53904	F5H0U9	ENSG00000095777	DOID:0110489	HPO	autosomal recessive nonsyndromic deafness 30	Xref -> OMIM
SET	6418	Q5VXV3	ENSG00000119335	DOID:9000141	HPO	Autosomal Dominant Mental Retardation 58	Xref -> OMIM
TYROBP	7305	O43914	ENSG00000011600	DOID:0090112	HPO	Nasu-Hakola disease	Xref -> OMIM
EEF1A2	1917	A0A2R8Y488	ENSG00000101210	DOID:0050709	HPO	Non-specific early-onset epileptic encephalopathy	Xref -> OMIM
GJA1	2697	P17302	ENSG00000152661	DOID:0060291	HPO	oculodentodigital dysplasia	Xref -> OMIM
CHMP2B	25978	A0A087WW88	ENSG00000083937	DOID:0111227	HPO	chromosome 3-linked frontotemporal dementia	Xref -> OMIM
ADAR	103	A0A3B3ISU1	ENSG00000160710	DOID:0060257	HPO	dyschromatosis symmetrica hereditaria	Xref -> OMIM
SERPINA6	866	P08185	ENSG00000170099	DOID:0090030	HPO	corticosteroid-binding globulin deficiency	Xref -> OMIM
FGFR1	2260	A0A3B3ISD1	ENSG00000077782	None	HPO	None	None
ARHGAP31	57514	C9J652	ENSG00000031081	DOID:0060227	HPO	Adams-Oliver syndrome	Xref -> OMIM
INTS8	55656	E5RJL5	ENSG00000164941	DOID:9009083	HPO	NEURODEVELOPMENTAL DISORDER WITH CEREBELLAR HYPOPLASIA AND SPASTICITY	Xref -> OMIM
NEK8	284086	K7EL04	ENSG00000160602	DOID:0060259	HPO	renal-hepatic-pancreatic dysplasia	Xref -> OMIM
HBB	3043	Q9UBV6	ENSG00000244734	DOID:0080773	HPO	Delta-beta-thalassemia	DiseaseName -> Frozenset
ARSL	415	A0A804HIF5	ENSG00000157399	DOID:0060292	HPO	X-linked chondrodysplasia punctata 1	Xref -> OMIM
MEFV	4210	I3L0S7	ENSG00000103313	DOID:2987	HPO	familial Mediterranean fever	Xref -> OMIM
RBP4	5950	P02753	ENSG00000138207	DOID:9000743	HPO	Isolated Microphthalmia with Coloboma 10	Xref -> OMIM
STAT3	6774	A0A7I2V444	ENSG00000168610	DOID:0060318	HPO	Acute promyelocytic leukemia	Xref -> UMLS
PAX6	5080	A0A1W2PRH6	ENSG00000007372	DOID:9003088	HPO	Foveal hypoplasia-presenile cataract syndrome	DiseaseName -> Frozenset
HABP2	3026	Q8IWX2	ENSG00000148702	DOID:3969	HPO	Familial papillary or follicular thyroid carcinoma	Xref -> OMIM
DDRGK1	65992	Q96HY6	ENSG00000198171	DOID:9006563	HPO	Spondyloepimetaphyseal dysplasia, Shohat type	Xref -> OMIM
ADSL	158	X5D7V4	ENSG00000239900	DOID:0050762	HPO	adenylosuccinase lyase deficiency	Xref -> OMIM
FBXO11	80204	C9IYF0	ENSG00000138081	DOID:9009213	HPO	INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES	Xref -> OMIM
CCL2	6347	P13500	ENSG00000108691	DOID:0080074	HPO	neural tube defect	Xref -> OMIM
KRT1	3848	H6VRF8	ENSG00000167768	DOID:0080223	HPO	epidermolytic palmoplantar keratoderma	Xref -> OMIM
NDUFV1	4723	G3V0I5	ENSG00000167792	DOID:0112082	HPO	nuclear type mitochondrial complex I deficiency 4	Xref -> OMIM
ALB	213	H7C013	ENSG00000163631	DOID:9000568	HPO	Congenital analbuminemia	Xref -> OMIM
SLC22A18	5002	E9PRM7	ENSG00000110628	DOID:1324	HPO	Lung cancer	Xref -> OMIM
KCNQ3	3786	A0A1W2PQ71	ENSG00000184156	DOID:14777	HPO	Benign familial neonatal epilepsy	Xref -> UMLS
TTC5	91875	Q8N0Z6	ENSG00000136319	DOID:9001167	HPO	NEURODEVELOPMENTAL DISORDER WITH CEREBRAL ATROPHY AND VARIABLE FACIAL DYSMORPHISM	Xref -> OMIM
SYT2	127833	Q8N9I0	ENSG00000143858	DOID:9001976	HPO	Presynaptic Congenital Myasthenic Syndrome 7B, Autosomal Recessive	Xref -> OMIM
USP53	54532	Q70EK8	ENSG00000145390	DOID:9002460	HPO	Progressive Familial Intrahepatic Cholestasis 7	Xref -> OMIM
DCHS1	8642	Q96JQ0	ENSG00000166341	DOID:0080585	HPO	Van Maldergem syndrome 1	Xref -> OMIM
TGFBI	7045	Q15582	ENSG00000120708	DOID:0060455	HPO	Thiel-Behnke corneal dystrophy	Xref -> UMLS
L1CAM	3897	H3BLW5	ENSG00000198910	None	HPO	None	None
CUX1	1523	Q13948	ENSG00000257923	DOID:9008363	HPO	GLOBAL DEVELOPMENTAL DELAY WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT	Xref -> OMIM
ERLIN1	10613	B0QZ43	ENSG00000107566	DOID:0110813	HPO	hereditary spastic paraplegia 62	Xref -> OMIM
CTNNB1	1499	P35222	ENSG00000168036	DOID:3840	HPO	Craniopharyngioma	Xref -> UMLS
ERCC2	2068	A8MX75	ENSG00000104884	None	HPO	None	None
MBD5	55777	H7C066	ENSG00000204406	DOID:0070031	HPO	Autosomal dominant non-syndromic intellectual disability 1	Xref -> OMIM
AEBP1	165	H7C0W8	ENSG00000106624	DOID:0080732	HPO	Ehlers-Danlos syndrome classic-like 2	Xref -> OMIM
WT1	7490	W5S707	ENSG00000184937	DOID:3764	HPO	Denys-Drash syndrome	Xref -> UMLS
NEDD4L	23327	K7ERN1	ENSG00000049759	DOID:9001678	HPO	Periventricular Nodular Heterotopia 7	Xref -> OMIM
ING1	3621	A0A087WXF7	ENSG00000153487	DOID:5520	HPO	head and neck squamous cell carcinoma	Xref -> OMIM
SLC22A5	6584	H7BZF0	ENSG00000197375	DOID:14365	HPO	Systemic primary carnitine deficiency	Xref -> UMLS
SATB2	23314	F8WCV6	ENSG00000119042	None	HPO	None	None
SLC24A5	283652	Q71RS6	ENSG00000188467	DOID:0080614	HPO	Oculocutaneous albinism type 6	DiseaseName -> Frozenset
SOHLH1	402381	Q5JUK2	ENSG00000165643	DOID:0112338	HPO	Male infertility with azoospermia or oligozoospermia due to single gene mutation	DiseaseName -> Frozenset
SPOP	8405	D6RIS7	ENSG00000121067	DOID:9001256	HPO	Nabais Sa-de Vries Syndrome, Type 1	Xref -> OMIM
RPL21	6144	G3V1B3	ENSG00000122026	DOID:0110698	HPO	Hypotrichosis simplex	Xref -> MeSH
HPCA	3208	Q0QD43	ENSG00000121905	DOID:0090038	HPO	Primary dystonia, DYT2 type	Xref -> OMIM
GNAS	2778	A0A0S2Z3H8	ENSG00000087460	DOID:0111623	HPO	ACTH-independent macronodular adrenal hyperplasia 1	Xref -> OMIM
TRMT1	55621	Q9NXH9	ENSG00000104907	DOID:0060307	HPO	Non-specific syndromic intellectual disability	Xref -> OMIM
COQ5	84274	B4DP72	ENSG00000110871	DOID:0112138	HPO	primary coenzyme Q10 deficiency 9	Xref -> OMIM
IRF6	3664	G0Z349	ENSG00000117595	DOID:0060239	HPO	Van der Woude syndrome	Xref -> OMIM
PPP2R3C	55012	G3V3V5	ENSG00000092020	DOID:9002447	HPO	Gonadal Dysgenesis, Dysmorphic Facies, Retinal Dystrophy and Myopathy	Xref -> OMIM
VWA1	64856	J3QRR0	ENSG00000179403	None	HPO	None	None
MPZ	4359	A0A5F9ZI26	ENSG00000158887	DOID:10595	HPO	Roussy-Lévy syndrome	Xref -> OMIM
